Race - Ethnicity,Fiscal Year Released,Sex,Age At Release,Convicting Offense Classification,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,Felony - Enhancement to Original Penalty,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,Serious Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,66.87,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,66.87,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2012,F,29.5,D Felony,Assault,Parole,ISC,No
Black - Non-Hispanic,2012,F,29.5,Aggravated Misdemeanor,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,F,21.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,F,21.5,Aggravated Misdemeanor,Assault,Parole,5JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,2JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,C Felony,Assault,Parole,ISC,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,ISC,No
Black - Non-Hispanic,2012,M,29.5,C Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,C Felony,Assault,Parole,8JD,No
Black - Non-Hispanic,2012,M,29.5,C Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,7JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,3JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Parole,5JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,ISC,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,ISC,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Parole,8JD,No
Black - Non-Hispanic,2012,M,39.5,Felony - Enhancement to Original Penalty,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Parole,7JD,No
Black - Non-Hispanic,2012,M,39.5,Felony - Enhancement to Original Penalty,Assault,Parole,5JD,No
Black - Non-Hispanic,2012,M,39.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,39.5,D Felony,Assault,Parole,ISC,No
Black - Non-Hispanic,2012,M,39.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,39.5,D Felony,Assault,Parole,ISC,No
Black - Non-Hispanic,2012,M,49.5,D Felony,Assault,Parole,6JD,No
Black - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Parole,3JD,No
Black - Non-Hispanic,2012,M,49.5,D Felony,Assault,Parole,5JD,No
Black - Non-Hispanic,2012,M,49.5,Felony - Enhancement to Original Penalty,Assault,Parole,6JD,No
Black - Non-Hispanic,2012,M,21.5,C Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Parole,5JD,No
Black - Non-Hispanic,2012,M,21.5,C Felony,Assault,Parole,5JD,No
Black - Non-Hispanic,2012,M,21.5,C Felony,Assault,Parole,5JD,No
Black - Non-Hispanic,2012,M,21.5,C Felony,Assault,Parole,5JD,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Parole,2JD,No
Black - Non-Hispanic,2012,M,21.5,C Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Parole,5JD,No
Black - Non-Hispanic,2012,M,21.5,C Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Parole,2JD,No
Black - Non-Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Parole,1JD,No
Black - Non-Hispanic,2012,M,21.5,D Felony,Assault,Parole,5JD,No
White - Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,29.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,29.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,29.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,29.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,21.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Hispanic,2012,M,29.5,B Felony,Assault,Parole,ISC,No
White - Hispanic,2012,M,29.5,D Felony,Assault,Parole,ISC,No
White - Hispanic,2012,M,29.5,D Felony,Assault,Parole,3JD,No
White - Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Parole,ISC,No
White - Hispanic,2012,M,29.5,D Felony,Assault,Parole,ISC,No
White - Hispanic,2012,M,29.5,D Felony,Assault,Parole,ISC,No
White - Hispanic,2012,M,29.5,C Felony,Assault,Parole,ISC,No
White - Hispanic,2012,M,39.5,D Felony,Assault,Parole,ISC,No
White - Hispanic,2012,M,39.5,D Felony,Assault,Parole,5JD,No
White - Hispanic,2012,M,39.5,D Felony,Assault,Parole,ISC,No
White - Hispanic,2012,M,39.5,C Felony,Assault,Parole,ISC,No
White - Hispanic,2012,M,39.5,D Felony,Assault,Parole,5JD,No
White - Hispanic,2012,M,39.5,C Felony,Assault,Parole,2JD,No
White - Hispanic,2012,M,49.5,C Felony,Assault,Parole,ISC,No
White - Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Parole,ISC,No
White - Hispanic,2012,M,21.5,C Felony,Assault,Parole,ISC,No
White - Hispanic,2012,M,21.5,Aggravated Misdemeanor,Assault,Parole,ISC,No
White - Hispanic,2012,M,21.5,C Felony,Assault,Parole,3JD,No
White - Hispanic,2012,M,21.5,D Felony,Assault,Parole,3JD,No
White - Hispanic,2012,M,21.5,C Felony,Assault,Parole,5JD,No
White - Non-Hispanic,2012,F,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,39.5,Serious Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,39.5,Serious Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,21.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,F,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,C Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Felony - Enhancement to Original Penalty,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Serious Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Serious Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,49.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,66.87,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,66.87,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,66.87,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,66.87,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,66.87,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,66.87,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,66.87,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2012,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,No
