Fiscal Year Released,Sex,Age At Release,Convicting Offense Classification,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism Likelihood,Number American Indian or Alaska Native - Non-Hispanic,Number Asian or Pacific Islander - Non-Hispanic,Number Black - Non-Hispanic,Number White - Hispanic,Number White - Non-Hispanic
2012,M,25-34,C Felony,Robbery,Discharged – End of Sentence,N/A,0.5,0,0,0,0,4
2012,M,25-34,Aggravated Misdemeanor,Vandalism,Discharged – End of Sentence,N/A,0.25,0,0,2,0,2
2012,F,35-44,B Felony,Other Criminal,Parole,5JD,1.0,0,0,1,0,0
2012,F,45-54,D Felony,Drug Possession,Parole,5JD,1.0,0,0,0,0,2
2012,M,45-54,C Felony,Trafficking,Parole,7JD,0.3333333333333333,0,0,3,0,3
2012,M,25-34,Aggravated Misdemeanor,Burglary,Parole,5JD,0.25,0,0,0,0,4
2012,F,35-44,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,0.16666666666666666,0,0,3,0,3
2012,F,25-34,Aggravated Misdemeanor,Theft,Parole,2JD,0.5,0,1,0,0,1
2012,M,35-44,C Felony,Assault,Parole,5JD,1.0,0,1,0,0,1
2012,F,35-44,Aggravated Misdemeanor,Drug Possession,Discharged – End of Sentence,N/A,0.5,0,0,0,0,6
2012,M,35-44,D Felony,Weapons,Parole,7JD,0.3333333333333333,0,0,0,0,3
2012,M,55 and Older,Aggravated Misdemeanor,Sex,Special Sentence,5JD,1.0,0,0,0,0,1
2012,M,Under 25,D Felony,Other Violent,Parole,1JD,1.0,0,0,0,0,1
2012,M,35-44,D Felony,Assault,Discharged – End of Sentence,N/A,0.21428571428571427,0,0,6,0,8
2012,M,Under 25,C Felony,Assault,Discharged – End of Sentence,N/A,0.3333333333333333,1,0,4,1,0
2012,M,55 and Older,B Felony,Trafficking,Parole,3JD,1.0,0,0,0,0,1
2012,M,25-34,Felony - Enhancement to Original Penalty,Other Violent,Parole,7JD,1.0,0,0,1,0,0
2012,M,45-54,Aggravated Misdemeanor,Assault,Parole,1JD,0.5,0,0,1,0,1
2012,F,45-54,C Felony,Trafficking,Parole,8JD,0.5,0,0,0,0,2
2012,M,35-44,Felony - Enhancement to Original Penalty,Burglary,Parole,2JD,1.0,0,0,0,0,1
2012,F,45-54,Felony - Enhancement to Original Penalty,Forgery/Fraud,Parole,1JD,0.5,0,0,0,0,2
2012,M,45-54,B Felony,Trafficking,Parole,ISC,0.3333333333333333,0,0,0,1,2
2012,M,35-44,Aggravated Misdemeanor,Alcohol,Parole,8JD,1.0,0,0,0,0,1
2012,M,25-34,Felony - Enhancement to Original Penalty,Assault,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2012,M,Under 25,C Felony,Sex,Special Sentence,1JD,1.0,0,0,0,0,1
2012,F,25-34,D Felony,Other Violent,Discharged – End of Sentence,N/A,0.5,0,0,2,0,0
2012,F,25-34,C Felony,Theft,Discharged – End of Sentence,N/A,0.5,0,0,1,0,1
2012,M,35-44,D Felony,Assault,Parole,1JD,0.3333333333333333,0,0,2,0,4
2012,M,25-34,C Felony,Sex,Parole,2JD,0.5,0,0,0,0,2
2012,M,45-54,C Felony,Robbery,Parole,1JD,0.5,0,0,2,0,0
2012,M,Under 25,D Felony,Other Criminal,Parole,2JD,1.0,0,0,0,0,1
2012,M,25-34,C Felony,Vandalism,Parole,5JD,0.3333333333333333,0,0,1,0,2
2012,M,45-54,D Felony,Traffic,Parole,ISC,0.5,0,0,0,0,2
2012,M,45-54,D Felony,Theft,Parole,7JD,0.6666666666666666,0,0,0,0,3
2012,M,35-44,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,2,0,4
2012,M,55 and Older,D Felony,Vandalism,Parole,5JD,1.0,0,0,0,0,1
2012,F,55 and Older,C Felony,Trafficking,Parole,7JD,1.0,0,0,0,0,1
2012,F,25-34,D Felony,Trafficking,Parole,5JD,0.3333333333333333,0,0,2,0,1
2012,M,Under 25,Aggravated Misdemeanor,Vandalism,Discharged – End of Sentence,N/A,0.5,0,0,1,0,3
2012,M,35-44,Aggravated Misdemeanor,Sex,Special Sentence,5JD,0.5,0,0,2,0,0
2012,M,Under 25,D Felony,Assault,Parole,6JD,1.0,0,0,2,0,0
2012,M,35-44,Aggravated Misdemeanor,Theft,Parole,2JD,0.5,0,0,1,0,1
2012,M,Under 25,Aggravated Misdemeanor,Sex,Special Sentence,6JD,0.5,0,0,0,0,2
2012,M,25-34,C Felony,Theft,Parole,2JD,1.0,0,0,0,0,1
2012,M,35-44,Felony - Enhancement to Original Penalty,Drug Possession,Parole,3JD,0.25,0,0,1,0,3
2012,M,45-54,Felony - Enhancement to Original Penalty,Assault,Discharged – End of Sentence,N/A,0.5,0,0,2,0,0
2012,F,25-34,D Felony,Drug Possession,Discharged – End of Sentence,N/A,1.0,0,0,1,0,0
2012,M,55 and Older,D Felony,Theft,Discharged – End of Sentence,N/A,0.25,0,0,0,0,4
2012,M,25-34,Aggravated Misdemeanor,Traffic,Parole,1JD,0.25,0,0,4,0,0
2012,M,35-44,D Felony,Drug Possession,Parole,2JD,0.5,0,0,1,0,3
2012,M,35-44,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,2,0,13
2012,M,25-34,Felony - Enhancement to Original Penalty,Burglary,Parole,3JD,1.0,0,0,0,0,1
2012,M,35-44,C Felony,Sex,Special Sentence,2JD,0.3333333333333333,0,0,0,0,3
2012,M,45-54,Aggravated Misdemeanor,Sex,Special Sentence,7JD,1.0,0,0,1,0,0
2012,M,Under 25,D Felony,Burglary,Special Sentence,4JD,1.0,0,0,0,0,1
2012,M,Under 25,C Felony,Assault,Parole,1JD,0.25,0,0,4,0,0
2012,M,25-34,B Felony,Trafficking,Parole,7JD,0.5,0,0,0,0,2
2012,M,25-34,D Felony,Weapons,Parole,8JD,1.0,0,0,1,0,0
2012,M,Under 25,D Felony,Vandalism,Discharged – End of Sentence,N/A,0.3333333333333333,1,0,0,2,9
2012,M,35-44,D Felony,OWI,Parole,ISC,0.2,0,0,0,4,1
2012,M,Under 25,Serious Misdemeanor,OWI,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,1,0,2
2012,M,25-34,C Felony,Trafficking,Parole,ISC,0.10526315789473684,0,1,9,4,5
2012,M,35-44,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,0.2,0,0,3,0,7
2012,M,35-44,B Felony,Trafficking,Parole,4JD,0.3333333333333333,0,0,0,0,3
2012,M,35-44,Felony - Enhancement to Original Penalty,Robbery,Parole,5JD,0.5,0,0,1,0,1
2012,M,35-44,C Felony,Assault,Parole,1JD,1.0,0,0,1,0,0
2012,M,45-54,D Felony,OWI,Parole,1JD,0.25,0,0,1,0,3
2012,M,45-54,Aggravated Misdemeanor,Drug Possession,Parole,1JD,1.0,0,0,1,0,0
2012,M,25-34,Felony - Enhancement to Original Penalty,Other Drug,Parole,7JD,1.0,0,0,1,0,0
2012,M,45-54,B Felony,Other Criminal,Parole,4JD,1.0,0,0,0,0,1
2012,F,45-54,D Felony,OWI,Discharged – End of Sentence,N/A,0.3333333333333333,1,0,0,0,2
2012,M,35-44,D Felony,Trafficking,Parole,4JD,1.0,0,0,0,0,1
2012,M,25-34,B Felony,Trafficking,Discharged – End of Sentence,N/A,0.25,0,0,1,0,3
2012,M,55 and Older,Felony - Enhancement to Original Penalty,Trafficking,Parole,8JD,0.5,0,0,0,0,2
2012,M,25-34,C Felony,Robbery,Parole,1JD,0.5,0,0,1,0,1
2012,M,Under 25,D Felony,Burglary,Special Sentence,7JD,1.0,0,0,0,0,1
2012,F,35-44,C Felony,Burglary,Parole,4JD,1.0,0,0,0,0,1
2012,F,25-34,D Felony,Drug Possession,Parole,1JD,1.0,0,0,0,0,1
2012,M,25-34,B Felony,Trafficking,Parole,2JD,0.2,0,0,2,0,3
2012,M,25-34,B Felony,Other Criminal,Parole,3JD,1.0,0,0,0,0,1
2012,M,25-34,D Felony,Trafficking,Parole,3JD,0.125,0,0,3,1,4
2012,M,35-44,Felony - Enhancement to Original Penalty,Forgery/Fraud,Discharged – End of Sentence,N/A,0.5,0,0,1,0,1
2012,M,25-34,Felony - Enhancement to Original Penalty,Sex,Discharged – End of Sentence,N/A,0.5,0,0,1,1,0
2012,M,Under 25,C Felony,Vandalism,Parole,ISC,0.0,0,0,0,0,1
2012,M,45-54,B Felony,Trafficking,Parole,2JD,0.25,0,0,0,0,4
2012,M,45-54,D Felony,Trafficking,Parole,8JD,0.5,0,0,0,0,2
2012,F,45-54,B Felony,Trafficking,Parole,5JD,0.25,0,0,0,0,4
2012,F,35-44,C Felony,Trafficking,Parole,1JD,1.0,0,0,0,0,1
2012,M,25-34,D Felony,Other Drug,Parole,8JD,0.25,0,0,0,1,3
2012,M,Under 25,D Felony,Other Drug,Parole,6JD,1.0,0,0,0,0,1
2012,M,Under 25,D Felony,OWI,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2012,F,35-44,D Felony,Forgery/Fraud,Parole,5JD,0.5,0,0,0,0,2
2012,M,35-44,D Felony,OWI,Parole,8JD,0.125,0,0,1,0,7
2012,M,25-34,D Felony,Other Violent,Parole,8JD,1.0,0,0,0,0,1
2012,M,35-44,Felony - Enhancement to Original Penalty,Weapons,Parole,5JD,1.0,0,0,0,0,1
2012,M,25-34,Aggravated Misdemeanor,OWI,Parole,7JD,1.0,0,0,0,0,1
2012,M,25-34,C Felony,Assault,Parole,8JD,0.5,0,0,1,0,1
2012,M,35-44,D Felony,Forgery/Fraud,Parole,6JD,1.0,0,0,0,0,1
2012,M,45-54,C Felony,Trafficking,Parole,3JD,0.16666666666666666,0,0,1,0,5
2012,M,35-44,D Felony,Drug Possession,Parole,6JD,0.5,0,0,0,0,2
2012,M,45-54,Felony - Enhancement to Original Penalty,Theft,Discharged – End of Sentence,N/A,0.5,0,0,0,0,2
2012,M,35-44,C Felony,Theft,Parole,5JD,0.125,0,0,2,0,6
2012,M,35-44,Felony - Enhancement to Original Penalty,Other Drug,Parole,5JD,1.0,0,0,0,0,1
2012,F,45-54,B Felony,Other Criminal,Parole,4JD,1.0,0,0,0,0,1
2012,M,35-44,Felony - Enhancement to Original Penalty,Drug Possession,Parole,5JD,0.3333333333333333,0,0,1,0,2
2012,M,35-44,D Felony,Trafficking,Discharged – End of Sentence,N/A,0.16666666666666666,0,0,4,0,8
2012,M,25-34,Felony - Enhancement to Original Penalty,Trafficking,Parole,ISC,0.2,0,0,4,0,1
2012,M,55 and Older,C Felony,Trafficking,Parole,8JD,0.3333333333333333,0,0,0,0,3
2012,M,25-34,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,1,0,5
2012,M,35-44,Aggravated Misdemeanor,Forgery/Fraud,Discharged – End of Sentence,N/A,0.5,0,0,0,0,4
2012,M,25-34,D Felony,OWI,Parole,7JD,0.2,0,0,0,1,4
2012,F,25-34,D Felony,Theft,Discharged – End of Sentence,N/A,0.25,1,1,0,0,2
2012,M,55 and Older,B Felony,Trafficking,Parole,5JD,0.3333333333333333,0,0,0,0,3
2012,F,45-54,C Felony,Theft,Parole,5JD,0.5,1,0,0,0,1
2012,M,45-54,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,0.25,0,0,4,0,8
2012,M,25-34,Aggravated Misdemeanor,Drug Possession,Parole,1JD,0.5,0,0,1,0,1
2012,M,45-54,D Felony,Arson,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2012,M,Under 25,Aggravated Misdemeanor,Other Drug,Parole,4JD,1.0,0,0,0,0,1
2012,M,35-44,C Felony,Trafficking,Special Sentence,5JD,1.0,0,0,0,0,1
2012,M,25-34,Aggravated Misdemeanor,OWI,Parole,1JD,0.5,0,0,2,0,0
2012,M,45-54,C Felony,Assault,Discharged – End of Sentence,N/A,1.0,0,0,1,0,0
2012,M,45-54,D Felony,Assault,Parole,7JD,1.0,0,0,1,0,0
2012,M,35-44,C Felony,Vandalism,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2012,M,35-44,D Felony,Assault,Parole,5JD,0.125,0,0,0,2,6
2012,M,45-54,C Felony,Trafficking,Parole,ISC,0.14285714285714285,0,0,2,2,3
2012,M,Under 25,C Felony,Murder/Manslaughter,Parole,4JD,1.0,0,0,0,0,1
2012,M,45-54,Felony - Enhancement to Original Penalty,OWI,Parole,5JD,1.0,0,0,0,0,1
2012,F,55 and Older,B Felony,Other Criminal,Parole,5JD,1.0,0,0,1,0,0
2012,M,35-44,D Felony,Weapons,Discharged – End of Sentence,N/A,0.5,0,0,0,0,2
2012,M,45-54,B Felony,Trafficking,Parole,3JD,0.3333333333333333,0,0,0,0,3
2012,F,Under 25,Aggravated Misdemeanor,Traffic,Parole,5JD,0.3333333333333333,0,0,1,0,2
2012,M,Under 25,C Felony,Sex,Discharged – End of Sentence,N/A,0.5,0,0,0,0,2
2012,M,25-34,Aggravated Misdemeanor,Sex Offender Registry/Residency,Discharged – End of Sentence,N/A,0.3333333333333333,1,0,0,0,2
2012,M,Under 25,D Felony,Other Violent,Discharged – End of Sentence,N/A,0.5,0,0,2,0,0
2012,M,25-34,Aggravated Misdemeanor,Assault,Parole,ISC,0.5,0,0,0,2,0
2012,F,25-34,C Felony,Trafficking,Parole,7JD,0.16666666666666666,0,0,1,1,4
2012,M,35-44,B Felony,Sex,Discharged – End of Sentence,N/A,0.6666666666666666,0,0,0,0,3
2012,M,25-34,B Felony,Other Violent,Discharged – End of Sentence,N/A,0.25,0,0,1,0,3
2012,M,35-44,D Felony,Trafficking,Parole,1JD,0.2,0,0,5,0,0
2012,M,25-34,D Felony,Other Criminal,Discharged – End of Sentence,N/A,1.0,0,0,1,0,0
2012,M,Under 25,D Felony,Other Drug,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,2,0,1
2012,F,25-34,B Felony,Trafficking,Parole,2JD,1.0,0,0,0,0,1
2012,M,35-44,Felony - Enhancement to Original Penalty,Theft,Parole,1JD,1.0,0,0,0,0,1
2012,M,Under 25,C Felony,Burglary,Parole,ISC,0.4,0,0,5,0,0
2012,M,55 and Older,D Felony,OWI,Parole,1JD,0.5,0,0,1,0,3
2012,M,35-44,D Felony,OWI,Parole,7JD,0.2,0,0,1,1,3
2012,M,45-54,C Felony,Theft,Discharged – End of Sentence,N/A,0.5,0,0,1,0,1
2012,M,25-34,D Felony,Weapons,Discharged – End of Sentence,N/A,0.2,0,0,1,0,9
2012,M,45-54,C Felony,Sex,Discharged – End of Sentence,N/A,0.1,0,0,1,1,8
2012,M,Under 25,D Felony,Sex Offender Registry/Residency,Discharged – End of Sentence,N/A,0.25,0,0,1,0,3
2012,F,35-44,Felony - Enhancement to Original Penalty,Trafficking,Parole,1JD,0.3333333333333333,0,0,0,0,3
2012,F,25-34,Aggravated Misdemeanor,Theft,Parole,1JD,1.0,0,0,0,0,1
2012,M,25-34,Aggravated Misdemeanor,Theft,Parole,4JD,1.0,0,0,0,0,1
2012,M,35-44,Aggravated Misdemeanor,Traffic,Parole,7JD,1.0,0,0,0,0,1
2012,M,35-44,B Felony,Trafficking,Parole,2JD,0.16666666666666666,0,0,0,0,6
2012,M,25-34,C Felony,Sex,Special Sentence,ISC,0.5,0,0,1,0,1
2012,M,Under 25,C Felony,Other Violent,Parole,6JD,0.5,0,0,1,0,1
2012,M,45-54,C Felony,Sex,Special Sentence,5JD,0.5,0,0,0,0,2
2012,M,45-54,Aggravated Misdemeanor,Alcohol,Parole,2JD,0.5,0,0,0,0,2
2012,M,Under 25,D Felony,Sex,Special Sentence,2JD,0.5,0,0,0,0,2
2012,M,45-54,C Felony,Vandalism,Discharged – End of Sentence,N/A,1.0,0,0,1,0,0
2012,F,25-34,B Felony,Robbery,Parole,2JD,1.0,0,0,0,0,1
2012,M,25-34,Felony - Enhancement to Original Penalty,OWI,Parole,3JD,0.5,0,0,0,0,2
2012,M,35-44,Aggravated Misdemeanor,OWI,Parole,3JD,1.0,0,0,0,0,1
2012,M,35-44,Aggravated Misdemeanor,Burglary,Parole,1JD,1.0,0,0,0,0,1
2012,F,25-34,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.25,0,0,1,1,2
2012,F,25-34,B Felony,Trafficking,Parole,7JD,1.0,0,0,1,0,0
2012,M,Under 25,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,0.3333333333333333,1,0,0,0,2
2012,F,25-34,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,0.125,0,0,1,1,6
2012,M,35-44,Felony - Enhancement to Original Penalty,OWI,Parole,7JD,1.0,0,0,0,0,1
2012,M,35-44,D Felony,Assault,Parole,6JD,1.0,0,0,0,0,1
2012,M,55 and Older,Aggravated Misdemeanor,Assault,Parole,2JD,1.0,0,0,0,0,1
2012,M,45-54,C Felony,Trafficking,Parole,8JD,0.1,0,0,1,0,9
2012,M,35-44,C Felony,Burglary,Parole,1JD,0.5,0,0,1,0,1
2012,F,25-34,Aggravated Misdemeanor,Forgery/Fraud,Discharged – End of Sentence,N/A,0.5,0,0,0,0,2
2012,M,35-44,D Felony,Trafficking,Parole,5JD,0.5,0,0,0,0,2
2012,M,45-54,D Felony,Sex,Special Sentence,2JD,1.0,0,0,1,0,0
2012,M,25-34,C Felony,Assault,Parole,2JD,0.5,0,0,0,0,2
2012,F,45-54,Aggravated Misdemeanor,Alcohol,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2012,M,35-44,C Felony,Trafficking,Parole,ISC,0.06666666666666667,0,0,4,6,5
2012,M,25-34,Aggravated Misdemeanor,OWI,Parole,5JD,0.5,0,0,1,0,1
2012,F,25-34,D Felony,OWI,Discharged – End of Sentence,N/A,0.3333333333333333,1,0,0,0,2
2012,M,25-34,Aggravated Misdemeanor,Assault,Parole,1JD,0.25,0,0,1,0,3
2012,M,45-54,D Felony,Drug Possession,Parole,1JD,0.2,0,0,2,0,3
2012,M,45-54,D Felony,OWI,Parole,3JD,0.2,0,0,1,0,4
2012,M,35-44,Felony - Enhancement to Original Penalty,Assault,Parole,5JD,0.5,0,0,1,0,1
2012,M,25-34,Felony - Enhancement to Original Penalty,Trafficking,Special Sentence,1JD,1.0,0,0,1,0,0
2012,F,35-44,Aggravated Misdemeanor,Traffic,Parole,7JD,1.0,0,0,0,0,1
2012,F,25-34,B Felony,Trafficking,Parole,1JD,0.5,0,0,0,0,2
2012,M,Under 25,D Felony,Sex,Special Sentence,3JD,1.0,0,0,0,0,1
2012,F,35-44,C Felony,Other Drug,Parole,2JD,1.0,0,0,0,0,1
2012,M,Under 25,C Felony,Other Violent,Parole,5JD,0.3333333333333333,0,0,1,0,2
2012,F,35-44,Aggravated Misdemeanor,Forgery/Fraud,Parole,5JD,1.0,0,0,0,0,1
2012,M,Under 25,Aggravated Misdemeanor,Vandalism,Parole,5JD,0.0,0,0,0,1,0
2012,M,45-54,Aggravated Misdemeanor,Weapons,Discharged – End of Sentence,N/A,0.0,1,0,0,0,0
2012,M,45-54,D Felony,Weapons,Discharged – End of Sentence,N/A,0.0,0,0,1,0,2
2012,M,25-34,D Felony,Weapons,Parole,7JD,0.0,0,0,1,0,1
2012,M,25-34,D Felony,Weapons,Parole,ISC,0.0,0,0,1,0,0
2012,M,35-44,D Felony,Weapons,Parole,ISC,0.0,0,0,1,0,0
2012,M,45-54,D Felony,Weapons,Parole,7JD,0.0,0,0,1,0,2
2012,M,Under 25,D Felony,Weapons,Parole,7JD,0.0,0,0,1,0,0
2012,M,25-34,Aggravated Misdemeanor,Weapons,Discharged – End of Sentence,N/A,0.0,0,0,0,1,0
2012,F,45-54,D Felony,Weapons,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,M,35-44,Aggravated Misdemeanor,Weapons,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,M,55 and Older,Felony - Enhancement to Original Penalty,Weapons,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,M,55 and Older,D Felony,Weapons,Discharged – End of Sentence,N/A,0.0,0,0,0,0,2
2012,F,25-34,D Felony,Weapons,Parole,1JD,0.0,0,0,0,0,1
2012,F,35-44,D Felony,Weapons,Parole,7JD,0.0,0,0,0,0,1
2012,M,35-44,D Felony,Weapons,Parole,3JD,0.0,0,0,0,0,1
2012,M,35-44,Aggravated Misdemeanor,Weapons,Parole,5JD,0.0,0,0,0,0,1
2012,M,45-54,D Felony,Weapons,Parole,8JD,0.0,0,0,0,0,1
2012,M,45-54,Aggravated Misdemeanor,Weapons,Parole,5JD,0.0,0,0,0,0,1
2012,M,45-54,D Felony,Weapons,Parole,2JD,0.0,0,0,0,0,1
2012,M,55 and Older,D Felony,Weapons,Parole,ISC,0.0,0,0,0,0,1
2012,M,55 and Older,D Felony,Weapons,Parole,5JD,0.0,0,0,0,0,1
2012,M,Under 25,D Felony,Weapons,Parole,2JD,0.0,0,0,0,0,1
2012,F,25-34,Aggravated Misdemeanor,Vandalism,Discharged – End of Sentence,N/A,0.0,1,0,0,0,1
2012,M,35-44,D Felony,Vandalism,Parole,1JD,0.0,0,1,0,0,1
2012,F,25-34,D Felony,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,1,0,0
2012,F,25-34,C Felony,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,1,0,0
2012,M,Under 25,C Felony,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,1,0,2
2012,M,25-34,D Felony,Vandalism,Parole,ISC,0.0,0,0,1,0,0
2012,M,25-34,D Felony,Vandalism,Parole,1JD,0.0,0,0,1,0,2
2012,F,35-44,Aggravated Misdemeanor,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,0,0,2
2012,M,25-34,C Felony,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,M,35-44,D Felony,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,M,25-34,Felony - Enhancement to Original Penalty,Vandalism,Parole,1JD,0.0,0,0,0,0,1
2012,M,25-34,D Felony,Vandalism,Parole,2JD,0.0,0,0,0,0,1
2012,M,25-34,Aggravated Misdemeanor,Vandalism,Parole,4JD,0.0,0,0,0,0,1
2012,M,25-34,D Felony,Vandalism,Parole,7JD,0.0,0,0,0,0,1
2012,M,Under 25,D Felony,Vandalism,Parole,3JD,0.0,0,0,0,0,1
2012,F,45-54,D Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,1,0,0,0,0
2012,F,25-34,Felony - Enhancement to Original Penalty,Trafficking,Parole,3JD,0.0,1,0,0,0,0
2012,M,45-54,D Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,1,0,5
2012,M,45-54,B Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,1,0,4
2012,M,55 and Older,Felony - Enhancement to Original Penalty,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,1,0,2
2012,F,25-34,Felony - Enhancement to Original Penalty,Trafficking,Parole,1JD,0.0,0,0,1,0,0
2012,F,45-54,C Felony,Trafficking,Parole,6JD,0.0,0,0,1,0,1
2012,F,Under 25,Felony - Enhancement to Original Penalty,Trafficking,Parole,5JD,0.0,0,0,1,0,0
2012,M,25-34,B Felony,Trafficking,Parole,ISC,0.0,0,0,2,11,1
2012,M,35-44,D Felony,Trafficking,Parole,3JD,0.0,0,0,1,0,1
2012,M,35-44,D Felony,Trafficking,Parole,ISC,0.0,0,0,1,0,7
2012,M,35-44,B Felony,Trafficking,Parole,ISC,0.0,0,0,1,5,8
2012,M,35-44,C Felony,Trafficking,Parole,7JD,0.0,0,0,1,1,1
2012,M,45-54,D Felony,Trafficking,Parole,ISC,0.0,0,0,1,1,0
2012,M,45-54,Felony - Enhancement to Original Penalty,Trafficking,Parole,7JD,0.0,0,0,2,0,0
2012,M,45-54,Felony - Enhancement to Original Penalty,Trafficking,Parole,ISC,0.0,0,0,1,1,0
2012,M,55 and Older,Felony - Enhancement to Original Penalty,Trafficking,Parole,2JD,0.0,0,0,1,0,0
2012,M,55 and Older,B Felony,Trafficking,Parole,ISC,0.0,0,0,1,0,0
2012,M,55 and Older,Felony - Enhancement to Original Penalty,Trafficking,Parole,1JD,0.0,0,0,1,0,0
2012,M,55 and Older,Felony - Enhancement to Original Penalty,Trafficking,Parole,ISC,0.0,0,0,1,1,0
2012,M,Under 25,Felony - Enhancement to Original Penalty,Trafficking,Parole,ISC,0.0,0,0,1,0,0
2012,M,Under 25,Felony - Enhancement to Original Penalty,Trafficking,Parole,5JD,0.0,0,0,1,0,0
2012,M,25-34,D Felony,Trafficking,Special Sentence,6JD,0.0,0,0,1,0,0
2012,F,25-34,Felony - Enhancement to Original Penalty,Trafficking,Parole,ISC,0.0,0,0,0,1,0
2012,F,25-34,Felony - Enhancement to Original Penalty,Trafficking,Parole,7JD,0.0,0,0,0,1,0
2012,F,35-44,C Felony,Trafficking,Parole,ISC,0.0,0,0,0,1,0
2012,M,55 and Older,C Felony,Trafficking,Parole,ISC,0.0,0,0,0,1,0
2012,M,Under 25,B Felony,Trafficking,Parole,ISC,0.0,0,0,0,1,0
2012,M,Under 25,D Felony,Trafficking,Parole,ISC,0.0,0,0,0,1,2
2012,F,35-44,Aggravated Misdemeanor,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,F,35-44,D Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,F,55 and Older,B Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,F,Under 25,D Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,2
2012,M,55 and Older,B Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,M,55 and Older,D Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,M,Under 25,Aggravated Misdemeanor,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2012,F,25-34,C Felony,Trafficking,Parole,ISC,0.0,0,0,0,0,2
2012,F,25-34,C Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,4
2012,F,25-34,D Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,2
2012,F,25-34,D Felony,Trafficking,Parole,6JD,0.0,0,0,0,0,1
2012,F,35-44,C Felony,Trafficking,Parole,3JD,0.0,0,0,0,0,1
2012,F,35-44,C Felony,Trafficking,Parole,6JD,0.0,0,0,0,0,1
2012,F,35-44,Felony - Enhancement to Original Penalty,Trafficking,Parole,ISC,0.0,0,0,0,0,1
2012,F,35-44,D Felony,Trafficking,Parole,6JD,0.0,0,0,0,0,1
2012,F,35-44,C Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,1
2012,F,45-54,B Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,1
2012,F,45-54,C Felony,Trafficking,Parole,3JD,0.0,0,0,0,0,1
2012,F,45-54,D Felony,Trafficking,Parole,7JD,0.0,0,0,0,0,1
2012,F,45-54,Felony - Enhancement to Original Penalty,Trafficking,Parole,ISC,0.0,0,0,0,0,1
2012,F,45-54,D Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,1
2012,F,45-54,D Felony,Trafficking,Parole,5JD,0.0,0,0,0,0,1
2012,F,45-54,C Felony,Trafficking,Parole,ISC,0.0,0,0,0,0,1
2012,F,55 and Older,B Felony,Trafficking,Parole,ISC,0.0,0,0,0,0,1
2012,F,55 and Older,B Felony,Trafficking,Parole,5JD,0.0,0,0,0,0,1
2012,F,Under 25,D Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,2
2012,F,Under 25,D Felony,Trafficking,Parole,4JD,0.0,0,0,0,0,1
2012,M,25-34,B Felony,Trafficking,Parole,4JD,0.0,0,0,0,0,1
